IOU_small_pretrained,IOU_small_retrained
0.4495411217212677,0.6098186373710632
0.3068605959415436,0.6246169209480286
0.3652082979679107,0.7094358205795288
0.358381450176239,0.6341175436973572
0.4556189179420471,0.588312029838562
0.419874906539917,0.6391947269439697
0.5013383030891418,0.6278901100158691
0.3531844913959503,0.6012319326400757
0.4349308013916015,0.7363373637199402
0.3777037858963012,0.6511187553405762
0.3930684030056,0.6162028312683105
0.4412066340446472,0.707158088684082
0.3785374462604522,0.65120530128479
0.3249107897281647,0.5905531644821167
0.4005294442176819,0.6568855047225952
0.4404950439929962,0.6381090879440308
0.4244351089000702,0.6403578519821167
0.3842089176177978,0.5845522880554199
0.2801103591918945,0.6234863996505737
0.4668050110340118,0.636875331401825
0.3982340693473816,0.6505053043365479
0.333290547132492,0.6768662929534912
0.3126899600028991,0.6471511721611023
0.3468687236309051,0.6580255627632141
0.3653531670570373,0.6794769167900085
0.3695710897445678,0.6122130751609802
0.3857113718986511,0.6370797157287598
0.2445236146450042,0.5427230000495911
0.4202533960342407,0.552217960357666
