loss_test_step,f1_step,tp_step,fp_step,fn_step,splits_step,merges_step,inaccurate_masks_step,iou_step,iou_big_step,iou_small_step,step,loss_test_epoch,f1_epoch,tp_epoch,fp_epoch,fn_epoch,splits_epoch,merges_epoch,inaccurate_masks_epoch,iou_epoch,iou_big_epoch,iou_small_epoch,epoch
0.034591369330883026,0.9572107791900635,302.0,13.0,1.0,0.0,0.0,13.0,0.7701332569122314,0.0,0.7701332569122314,0,,,,,,,,,,,,
0.03119257465004921,0.9357495903968811,284.0,18.0,2.0,0.0,0.0,19.0,0.7639184594154358,0.0,0.7639184594154358,1,,,,,,,,,,,,
0.02247607707977295,0.9448819160461426,240.0,9.0,1.0,0.0,0.0,18.0,0.7657346725463867,0.0,0.7657346725463867,2,,,,,,,,,,,,
0.019234081730246544,0.9455587267875671,165.0,7.0,1.0,0.0,1.0,11.0,0.7616694569587708,0.0,0.7616694569587708,3,,,,,,,,,,,,
0.02196740359067917,0.9247910976409912,166.0,20.0,5.0,0.0,1.0,2.0,0.7598906755447388,0.0,0.7598906755447388,4,,,,,,,,,,,,
0.029248863458633423,0.9110628962516785,210.0,21.0,5.0,0.0,1.0,15.0,0.746806800365448,0.0,0.746806800365448,5,,,,,,,,,,,,
0.04245978966355324,0.8892617225646973,265.0,31.0,6.0,0.0,0.0,29.0,0.7434247136116028,0.0,0.7434247136116028,6,,,,,,,,,,,,
0.04607473686337471,0.9149560332298279,312.0,26.0,14.0,0.0,0.0,18.0,0.7461299896240234,0.0,0.7461299896240234,7,,,,,,,,,,,,
0.0572175458073616,0.9294605851173401,336.0,23.0,8.0,0.0,1.0,20.0,0.7431740164756775,0.0,0.7431740164756775,8,,,,,,,,,,,,
0.03631363436579704,0.8978723287582397,211.0,23.0,12.0,0.0,0.0,13.0,0.7272851467132568,0.0,0.7272851467132568,9,,,,,,,,,,,,
,,,,,,,,,,,0,0.03407760709524155,0.9250804781913757,249.10000610351562,19.100000381469727,5.5,0.0,0.4000000059604645,15.800000190734863,0.7528166770935059,0.0,0.7528166770935059,0
