threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.8510638297846472,140,21,20,0,1,8,17
0.55,0.8475609756071721,139,21,20,0,1,9,17
0.6,0.8369230769205018,136,21,20,0,1,12,17
0.65,0.7923322683680757,124,21,20,0,1,24,17
0.7,0.7186440677941741,106,21,20,0,1,42,17
0.75,0.5999999999977778,81,21,20,0,1,67,17
0.8,0.4571428571409913,56,21,20,0,1,92,17
0.85,0.2972972972959581,33,21,20,0,1,115,17
0.9,0.0515463917523116,5,21,20,0,1,143,17
0.5,0.8103896103875055,156,13,44,0,2,16,17
0.55,0.7979002624650974,152,13,44,0,2,20,17
0.6,0.7883597883577028,149,13,44,0,2,23,17
0.65,0.7452054794500131,136,13,44,0,2,36,17
0.7,0.6529411764686679,111,13,44,0,2,61,17
0.75,0.5687499999982226,91,13,44,0,2,81,17
0.8,0.4206896551709631,61,13,44,0,2,111,17
0.85,0.2585551330788648,34,13,44,0,2,138,17
0.9,0.0510638297870167,6,13,44,0,2,166,17
0.5,0.7750865051876294,112,46,13,2,1,6,17
0.55,0.7708333333306568,111,46,13,2,1,7,17
0.6,0.757894736839446,108,46,13,2,1,10,17
0.65,0.7173913043452269,99,46,13,2,1,19,17
0.7,0.6741573033682616,90,46,13,2,1,28,17
0.75,0.5432098765409745,66,46,13,2,1,52,17
0.8,0.4266666666647704,48,46,13,2,1,70,17
0.85,0.2475247524740221,25,46,13,2,1,93,17
0.9,0.0655737704914449,6,46,13,2,1,112,17
0.5,0.8431372548992054,129,18,21,2,0,9,17
0.55,0.8278145695336827,125,18,21,2,0,13,17
0.6,0.8080808080780874,120,18,21,2,0,18,17
0.65,0.7708333333306568,111,18,21,2,0,27,17
0.7,0.6937269372668129,94,18,21,2,0,44,17
0.75,0.6279069767417523,81,18,21,2,0,57,17
0.8,0.512605042014653,61,18,21,2,0,77,17
0.85,0.3761467889891002,41,18,21,2,0,97,17
0.9,0.1846153846144378,18,18,21,2,0,120,17
0.5,0.8126649076495708,154,34,25,1,0,12,17
0.55,0.7999999999978666,150,34,25,1,0,16,17
0.6,0.7837837837816655,145,34,25,1,0,21,17
0.65,0.7569060773459754,137,34,25,1,0,29,17
0.7,0.7031700288164174,122,34,25,1,0,44,17
0.75,0.575949367086785,91,34,25,1,0,75,17
0.8,0.4154929577450159,59,34,25,1,0,107,17
0.85,0.1927710843365752,24,34,25,1,0,142,17
0.9,0.051948051947827,6,34,25,1,0,160,17
0.5,0.8789808917169459,138,19,13,0,0,6,17
0.55,0.8717948717920776,136,19,13,0,0,8,17
0.6,0.8608414239454342,133,19,13,0,0,11,17
0.65,0.8148148148120714,121,19,13,0,0,23,17
0.7,0.7777777777750772,112,19,13,0,0,32,17
0.75,0.7199999999973818,99,19,13,0,0,45,17
0.8,0.5806451612879813,72,19,13,0,0,72,17
0.85,0.3157894736826996,33,19,13,0,0,111,17
0.9,0.0765027322400191,7,19,13,0,0,137,17
0.5,0.8529411764680797,145,20,28,0,2,2,17
0.55,0.8392857142832164,141,20,28,0,2,6,17
0.6,0.8181818181793389,135,20,28,0,2,12,17
0.65,0.7999999999975385,130,20,28,0,2,17,17
0.7,0.7735849056579447,123,20,28,0,2,24,17
0.75,0.6689419795199012,98,20,28,0,2,49,17
0.8,0.5920577617307146,82,20,28,0,2,65,17
0.85,0.3749999999984375,45,20,28,0,2,102,17
0.9,0.0882352941172145,9,20,28,0,2,138,17
0.5,0.8082595870182647,137,39,21,0,0,5,17
0.55,0.7904191616742802,132,39,21,0,0,10,17
0.6,0.7607361963166849,124,39,21,0,0,18,17
0.65,0.7255520504708973,115,39,21,0,0,27,17
0.7,0.6533333333311556,98,39,21,0,0,44,17
0.75,0.5309090909071603,73,39,21,0,0,69,17
0.8,0.3442622950805563,42,39,21,0,0,100,17
0.85,0.1467889908250147,16,39,21,0,0,126,17
0.9,0.029268292682784,3,39,21,0,0,139,17
0.5,0.7857142857111679,99,26,21,0,0,7,17
0.55,0.7808764940207934,98,26,21,0,0,8,17
0.6,0.7661290322549753,95,26,21,0,0,11,17
0.65,0.7302904564285051,88,26,21,0,0,18,17
0.7,0.7033898305054942,83,26,21,0,0,23,17
0.75,0.6519823788517534,74,26,21,0,0,32,17
0.8,0.54976303317275,58,26,21,0,0,48,17
0.85,0.3723404255299344,35,26,21,0,0,71,17
0.9,0.0754716981127328,6,26,21,0,0,100,17
0.5,0.7999999999965218,92,29,15,0,1,2,17
0.55,0.7999999999965218,92,29,15,0,1,2,17
0.6,0.7841409691595412,89,29,15,0,1,5,17
0.65,0.767857142853715,86,29,15,0,1,8,17
0.7,0.7281105990749857,79,29,15,0,1,15,17
0.75,0.6794258373173233,71,29,15,0,1,23,17
0.8,0.5624999999970703,54,29,15,0,1,40,17
0.85,0.317073170729774,26,29,15,0,1,68,17
0.9,0.1095890410951398,8,29,15,0,1,86,17
